717|29
5505|25
6129|30
11442|0
13596|30
15237|29
15726|26
16035|32
17581|11
20241|34
20474|33
20924|19
20999|22
21578|27
23850|23
25343|31
27014|0
28458|30
28814|18
32362|26
33519|27
33812|21
34084|25
35773|18
35939|30
35942|0
36104|23
36177|27
36262|23
36328|27
37236|15
37641|20
37902|35
38871|34

38886|25
39166|31
39294|32
40559|29
40960|25
41834|26
42743|9
43702|23
44528|31
45235|35
45457|35
47289|16
47324|36
47817|20
50574|24
51559|0
51928|0
52095|32
52125|0
56240|30
56281|26
57450|24
57552|16
57810|0
59135|33
59638|26
59813|22
61760|36
62740|35
63016|17
64516|0
64667|25
66650|21
66660|23
67218|24

67511|29
69767|27
70172|30
71716|26
71943|31
72218|28
73131|33
73846|32
76050|16
76924|29
78627|32
78836|34
79466|11
79757|29
79997|22
80048|0
80388|36
81080|0
81493|19
82704|12
84215|30
85025|20
85515|0
85637|11
87989|26
88993|33
89372|23
89481|36
89512|0
89686|19
90541|36
91503|36
91915|32
94030|0
94281|32

95817|27
97132|28
97751|23
99235|30
99712|30
99877|28
